,지역명,전용면적,연도,월,평당분양가격
0,서울,모든면적,2015,10,19275.3
1,서울,60m²,2015,10,18651.6
2,서울,60m²~85m²,2015,10,19410.6
3,서울,85m²~102m²,2015,10,18879.3
4,서울,102m²~,2015,10,19400.7
5,인천,모든면적,2015,10,10437.9
6,인천,60m²,2015,10,11510.4
7,인천,60m²~85m²,2015,10,10292.699999999999
8,인천,85m²~102m²,2015,10,11698.5
9,인천,102m²~,2015,10,11246.4
10,경기,모든면적,2015,10,10355.4
11,경기,60m²,2015,10,10315.8
12,경기,60m²~85m²,2015,10,10688.699999999999
13,경기,85m²~102m²,2015,10,11536.8
14,경기,102m²~,2015,10,12144.0
15,부산,모든면적,2015,10,10269.599999999999
16,부산,60m²,2015,10,9735.0
17,부산,60m²~85m²,2015,10,9896.699999999999
18,부산,85m²~102m²,2015,10,9758.1
19,부산,102m²~,2015,10,11550.0
20,대구,모든면적,2015,10,8850.6
21,대구,60m²,2015,10,8626.199999999999
22,대구,60m²~85m²,2015,10,8896.8
23,대구,85m²~102m²,2015,10,8438.1
24,대구,102m²~,2015,10,8573.4
25,광주,모든면적,2015,10,7986.0
26,광주,60m²,2015,10,7434.9
27,광주,60m²~85m²,2015,10,8048.7
28,광주,85m²~102m²,2015,10,
29,광주,102m²~,2015,10,
30,대전,모든면적,2015,10,8098.2
31,대전,60m²,2015,10,8530.5
32,대전,60m²~85m²,2015,10,8012.4
33,대전,85m²~102m²,2015,10,8121.299999999999
34,대전,102m²~,2015,10,
35,울산,모든면적,2015,10,10074.9
36,울산,60m²,2015,10,7992.599999999999
37,울산,60m²~85m²,2015,10,10032.0
38,울산,85m²~102m²,2015,10,9738.3
39,울산,102m²~,2015,10,8877.0
40,세종,모든면적,2015,10,8718.6
41,세종,60m²,2015,10,8487.6
42,세종,60m²~85m²,2015,10,8768.1
43,세종,85m²~102m²,2015,10,8725.199999999999
44,세종,102m²~,2015,10,8883.6
45,강원,모든면적,2015,10,7151.099999999999
46,강원,60m²,2015,10,7543.799999999999
47,강원,60m²~85m²,2015,10,7299.599999999999
48,강원,85m²~102m²,2015,10,6801.299999999999
49,강원,102m²~,2015,10,7164.299999999999
50,충북,모든면적,2015,10,6705.599999999999
51,충북,60m²,2015,10,6332.7
52,충북,60m²~85m²,2015,10,6708.9
53,충북,85m²~102m²,2015,10,6936.599999999999
54,충북,102m²~,2015,10,7817.7
55,충남,모든면적,2015,10,6926.7
56,충남,60m²,2015,10,7279.799999999999
57,충남,60m²~85m²,2015,10,6933.299999999999
58,충남,85m²~102m²,2015,10,9051.9
59,충남,102m²~,2015,10,8058.599999999999
60,전북,모든면적,2015,10,6778.2
61,전북,60m²,2015,10,7019.099999999999
62,전북,60m²~85m²,2015,10,6784.799999999999
63,전북,85m²~102m²,2015,10,7844.099999999999
64,전북,102m²~,2015,10,7425.0
65,전남,모든면적,2015,10,6352.5
66,전남,60m²,2015,10,6596.7
67,전남,60m²~85m²,2015,10,6342.599999999999
68,전남,85m²~102m²,2015,10,7464.599999999999
69,전남,102m²~,2015,10,7563.599999999999
70,경북,모든면적,2015,10,7088.4
71,경북,60m²,2015,10,7273.2
72,경북,60m²~85m²,2015,10,7078.5
73,경북,85m²~102m²,2015,10,7616.4
74,경북,102m²~,2015,10,7332.599999999999
75,경남,모든면적,2015,10,7560.299999999999
76,경남,60m²,2015,10,7388.7
77,경남,60m²~85m²,2015,10,7606.5
78,경남,85m²~102m²,2015,10,9537.0
79,경남,102m²~,2015,10,9946.199999999999
80,제주,모든면적,2015,10,7365.599999999999
81,제주,60m²,2015,10,
82,제주,60m²~85m²,2015,10,7342.5
83,제주,85m²~102m²,2015,10,8523.9
84,제주,102m²~,2015,10,8494.199999999999
85,서울,모든면적,2015,11,19965.0
86,서울,60m²,2015,11,20856.0
87,서울,60m²~85m²,2015,11,19681.2
88,서울,85m²~102m²,2015,11,23403.6
89,서울,102m²~,2015,11,21618.3
90,인천,모든면적,2015,11,10507.199999999999
91,인천,60m²,2015,11,10982.4
92,인천,60m²~85m²,2015,11,10292.699999999999
93,인천,85m²~102m²,2015,11,11698.5
94,인천,102m²~,2015,11,11246.4
95,경기,모든면적,2015,11,10223.4
96,경기,60m²,2015,11,10160.699999999999
97,경기,60m²~85m²,2015,11,10566.599999999999
98,경기,85m²~102m²,2015,11,11190.3
99,경기,102m²~,2015,11,12289.199999999999
100,부산,모든면적,2015,11,10332.3
101,부산,60m²,2015,11,9840.6
102,부산,60m²~85m²,2015,11,10022.1
103,부산,85m²~102m²,2015,11,9758.1
104,부산,102m²~,2015,11,12338.699999999999
105,대구,모든면적,2015,11,9071.699999999999
106,대구,60m²,2015,11,8259.9
107,대구,60m²~85m²,2015,11,9259.8
108,대구,85m²~102m²,2015,11,8438.1
109,대구,102m²~,2015,11,9051.9
110,광주,모든면적,2015,11,7999.2
111,광주,60m²,2015,11,7428.299999999999
112,광주,60m²~85m²,2015,11,8065.2
113,광주,85m²~102m²,2015,11,
114,광주,102m²~,2015,11,
115,대전,모든면적,2015,11,8098.2
116,대전,60m²,2015,11,8530.5
