iter	Passed	Remaining
0	149	149104
1	156	77862
2	163	54337
3	170	42517
4	177	35330
5	183	30422
6	189	26932
7	196	24373
8	203	22367
9	209	20709
10	215	19338
11	220	18185
12	226	17212
13	232	16389
14	238	15686
15	245	15087
16	251	14533
17	257	14045
18	263	13630
19	270	13232
20	276	12884
21	282	12553
22	288	12255
23	294	11989
24	300	11734
25	307	11512
26	313	11309
27	319	11104
28	326	10927
29	332	10746
30	338	10580
31	344	10421
32	350	10270
33	357	10157
34	363	10034
35	370	9911
36	376	9791
37	382	9678
38	388	9576
39	394	9471
40	400	9373
41	407	9284
42	413	9201
43	420	9130
44	426	9050
45	432	8975
46	438	8899
47	445	8845
48	452	8773
49	458	8707
50	464	8646
51	470	8584
52	477	8523
53	483	8463
54	489	8404
55	495	8349
56	501	8296
57	507	8247
58	513	8194
59	520	8146
60	526	8098
61	532	8050
62	538	8004
63	544	7958
64	550	7922
65	557	7883
66	562	7839
67	569	7799
68	574	7757
69	581	7719
70	587	7689
71	594	7661
72	600	7631
73	607	7600
74	614	7576
75	620	7543
76	626	7511
77	632	7480
78	638	7446
79	644	7413
80	650	7384
81	656	7353
82	662	7324
83	669	7297
84	675	7269
85	681	7241
86	687	7215
87	693	7188
88	699	7164
89	705	7136
90	712	7112
91	718	7092
92	724	7067
93	730	7044
94	736	7019
95	742	6995
96	748	6972
97	754	6948
98	761	6928
99	767	6908
100	773	6884
101	779	6865
102	785	6842
103	791	6822
104	797	6800
105	803	6779
106	810	6763
107	816	6743
108	823	6728
109	829	6713
110	836	6696
111	842	6676
112	847	6655
113	853	6634
114	859	6617
115	865	6597
116	871	6578
117	877	6559
118	883	6540
119	889	6522
120	895	6504
121	901	6486
122	907	6469
123	913	6451
124	919	6435
125	925	6417
126	931	6399
127	936	6382
128	942	6366
129	948	6348
130	954	6331
131	961	6320
132	967	6306
133	973	6293
134	979	6278
135	985	6262
136	991	6247
137	997	6232
138	1004	6219
139	1010	6204
140	1016	6189
141	1022	6175
142	1028	6161
143	1034	6150
144	1040	6138
145	1047	6124
146	1053	6111
147	1059	6098
148	1065	6086
149	1071	6073
150	1077	6059
151	1083	6045
152	1089	6032
153	1096	6021
154	1102	6010
155	1109	6000
156	1115	5988
157	1121	5975
158	1127	5962
159	1133	5949
160	1139	5937
161	1145	5925
162	1151	5914
163	1157	5901
164	1164	5890
165	1169	5878
166	1175	5865
167	1181	5853
168	1188	5845
169	1194	5832
170	1200	5821
171	1206	5808
172	1212	5795
173	1218	5783
174	1224	5771
175	1230	5760
176	1236	5751
177	1242	5739
178	1249	5728
179	1255	5718
180	1261	5705
181	1267	5695
182	1273	5683
183	1279	5673
184	1285	5663
185	1291	5651
186	1297	5642
187	1303	5631
188	1310	5623
189	1316	5612
190	1322	5602
191	1329	5596
192	1336	5588
193	1342	5577
194	1348	5567
195	1354	5556
196	1360	5546
197	1366	5535
198	1372	5524
199	1378	5515
200	1384	5503
201	1390	5492
202	1396	5484
203	1403	5475
204	1409	5467
205	1416	5459
206	1422	5448
207	1428	5439
208	1434	5429
209	1440	5420
210	1446	5410
211	1452	5399
212	1458	5389
213	1464	5378
214	1470	5367
215	1477	5361
216	1483	5352
217	1489	5343
218	1495	5333
219	1501	5323
220	1507	5313
221	1513	5302
222	1518	5292
223	1524	5282
224	1530	5271
225	1536	5262
226	1542	5252
227	1548	5242
228	1554	5232
229	1559	5222
230	1565	5212
231	1571	5202
232	1577	5193
233	1583	5183
234	1589	5173
235	1595	5164
236	1601	5156
237	1607	5147
238	1613	5137
239	1619	5128
240	1625	5120
241	1631	5111
242	1638	5104
243	1645	5097
244	1651	5089
245	1657	5080
246	1663	5072
247	1670	5063
248	1676	5057
249	1683	5049
250	1689	5040
251	1695	5031
252	1701	5023
253	1707	5014
254	1713	5005
255	1719	4996
256	1725	4988
257	1731	4979
258	1737	4970
259	1743	4961
260	1749	4953
261	1755	4945
262	1761	4936
263	1767	4927
264	1773	4918
265	1779	4910
266	1786	4903
267	1792	4896
268	1798	4888
269	1805	4880
270	1811	4872
271	1817	4864
