RDATE,INDUSTRY,MEAN_SENT,Risk,Predict,Total_News,article_ratio,Total_Volume,trade_volum_ratio
2025-10-01,건설,0.69690144,2.4877833246490253,0,437,0.19222,30751473,0.22512
2025-10-02,건설,0.6694248,1.6957056897466714,0,280,0.14286,35183514,0.20889
2025-10-10,건설,0.5805987,1.9342925987193091,0,179,0.1676,47060285,0.23987
2025-10-13,건설,0.5733051,1.8009441608123562,0,323,0.1548,34617515,0.24391
2025-10-14,건설,0.52518654,4.402229915035731,0,328,0.21646,67871370,0.53385
2025-10-15,건설,0.7704087,6.363868711819901,0,378,0.17725,69637803,0.659
2025-10-16,건설,0.7051932,3.087416785913968,0,323,0.21053,55275069,0.25754
2025-10-17,건설,0.70588416,2.3665505450857904,0,318,0.20126,60811122,0.20061
2025-10-20,건설,0.73085994,2.2341207968857772,0,347,0.19597,44375640,0.18627
2025-10-21,건설,0.8427002,1.5565306196459565,0,357,0.13725,66462415,0.15443
2025-10-22,건설,0.6724776,2.094190763377949,0,418,0.19378,32929592,0.19222
2025-10-23,건설,0.6778257,2.21811565665337,0,329,0.16109,39160385,0.24494
2025-10-24,건설,0.7897235,4.452851497210641,0,249,0.20884,58994933,0.34622
2025-10-27,건설,0.85413253,3.178679031645421,0,336,0.21726,69587383,0.20839
2025-10-28,건설,0.77680284,3.1428509027831812,0,430,0.1907,45051645,0.26087
2025-10-29,건설,0.6814524,2.299235361683516,0,482,0.18465,66919356,0.22033
2025-10-30,건설,0.8414443,1.670419919971348,0,600,0.10833,58766270,0.21289
2025-10-31,건설,0.61255443,3.149703341412987,0,418,0.1866,71163922,0.35058
2025-11-03,건설,0.72687095,2.479615034346862,0,407,0.13514,59477412,0.30883
2025-11-04,건설,0.7655729,2.4512530897454443,0,312,0.22436,71043328,0.17138
2025-11-05,건설,0.84407216,2.2073538584304937,0,308,0.19481,90831487,0.15827
2025-11-06,건설,0.82207704,2.3286958309498007,0,309,0.20065,62256839,0.16755
2025-11-07,건설,0.7796009,4.178075723045157,0,240,0.2375,52595920,0.28595
2025-11-10,건설,0.7263533,2.0777896459691583,0,286,0.23427,42619243,0.14558
2025-11-11,건설,0.7465957,1.9524387654616215,0,286,0.20979,51407912,0.14719
2025-11-12,건설,0.6705188,1.0145684155033634,0,311,0.1672,61537988,0.10282
2025-11-13,건설,0.54552746,0.5740928932592863,0,325,0.10462,68989956,0.11156
2025-11-14,건설,0.5739197,0.7147694860797358,0,311,0.09968,54071262,0.14005
2025-11-17,건설,0.6115443,1.1358307060912656,0,307,0.19218,58907587,0.11144
2025-11-18,건설,0.55906004,1.8467541136769585,0,281,0.20996,41157269,0.18925
2025-11-19,건설,0.64482296,2.1884595022132585,0,302,0.22185,39508286,0.18457
2025-11-20,건설,0.6305653,1.9612285136994707,0,313,0.25879,40235945,0.1447
2025-11-21,건설,0.7175562,2.1060723438466598,0,211,0.22749,36673827,0.15395
2025-11-24,건설,0.829459,2.0405036801479164,0,289,0.19723,41525808,0.14644
2025-11-25,건설,0.63720286,1.4128282639902532,0,284,0.17606,35322274,0.14651
